Time Flux Fluxerr
"127" 1470.911341152 0.999018501 0.000458604
"128" 1470.932174907 0.999675168 0.000458513
"129" 1470.953008662 0.999837655 0.000458449
"130" 1470.973842415 1.00106155 0.000458274
"131" 1470.994676168 0.99995912 0.000458477
"132" 1471.015509919 1.00019955 0.0004584
"133" 1471.03634367 0.999808892 0.000458438
"134" 1471.057177419 0.999882756 0.000458453
"135" 1471.078011169 0.999438939 0.000458547
"136" 1471.098844916 0.998401068 0.000458766
"137" 1471.119678663 0.998590902 0.000458734
"138" 1471.140512409 0.999164407 0.000458631
"139" 1471.161346154 0.999144637 0.000458716
"140" 1471.182179899 1.000256382 0.000458402
"141" 1471.203013642 1.000686165 0.000458346
"142" 1471.223847384 0.999844008 0.000458532
"143" 1471.244681125 0.999939467 0.000458503
"144" 1471.265514866 1.000252896 0.000458373
"145" 1471.286348605 1.000430194 0.000458402
"146" 1471.307182344 0.999715976 0.000458588
"147" 1471.328016082 1.000095712 0.000458515
"148" 1471.348849818 0.999897733 0.000458537
"149" 1471.369683554 0.99942442 0.000458647
"150" 1471.390517289 0.999264085 0.000458632
"151" 1471.411351023 0.99970058 0.000458497
"152" 1471.432184756 1.000012404 0.000458452
"153" 1471.453018488 1.000205493 0.00045845
"154" 1471.473852219 1.000066508 0.000458444
"155" 1471.494685949 0.999199358 0.000458629
"156" 1471.51544719867 NA NA
"157" 1471.536353407 1.000221497 0.000458595
"158" 1471.55711386533 NA NA
"159" 1471.57794719867 NA NA
"160" 1471.598780532 NA NA
"161" 1471.61961386533 NA NA
"162" 1471.64044719867 NA NA
"163" 1471.661280532 NA NA
"164" 1471.68211386533 NA NA
"165" 1471.70294719867 NA NA
"166" 1471.723780532 NA NA
"167" 1471.744690639 0.999689024 0.000458717
"168" 1471.765524357 0.999159485 0.00045877
"169" 1471.786358074 1.0004571 0.00045842
"170" 1471.80719179 1.000409625 0.00045851
"171" 1471.828025505 0.999367034 0.00045869
"172" 1471.84885922 1.000320983 0.000458425
"173" 1471.869692933 0.999767667 0.000458646
"174" 1471.890526645 0.999586031 0.000458658
"175" 1471.911360357 1.000112122 0.000458565
"176" 1471.932194067 0.999590808 0.000458678
"177" 1471.953027777 0.999717385 0.000458667
"178" 1471.973861486 1.000046622 0.000458536
"179" 1471.994695193 0.999820241 0.000458684
"180" 1472.0155289 0.999309522 0.00045876
"181" 1472.036362606 0.999684538 0.000458654
"182" 1472.057196311 0.999662163 0.000458647
"183" 1472.078030015 1.000449184 0.000458531
"184" 1472.098863718 0.99954462 0.000458703
"185" 1472.11969742 1.000046274 0.000458564
"186" 1472.140531121 1.000525808 0.000458483
"187" 1472.161364821 0.99937871 0.000458674
"188" 1472.18219852 1.000549994 0.000458412
"189" 1472.203032218 0.999984423 0.00045862
"190" 1472.223865916 0.998984313 0.000458831
"191" 1472.244699612 0.999567898 0.000458679
"192" 1472.265533307 0.998563839 0.000458935
"193" 1472.286367002 0.998872836 0.000458874
"194" 1472.307200695 1.00027604 0.000458497
"195" 1472.328034388 1.000046649 0.00045861
"196" 1472.348868079 1.000700627 0.000458397
"197" 1472.36970177 0.999791466 0.0004585
"198" 1472.39053546 1.000374719 0.000458456
"199" 1472.411369149 0.999270578 0.000458696
"200" 1472.432202836 1.000163412 0.000458462
"201" 1472.453036523 0.999175246 0.000458708
"202" 1472.473870209 0.999893373 0.000458567
"203" 1472.494703894 0.999911093 0.000458551
"204" 1472.515537578 0.999373094 0.000458638
"205" 1472.536371261 1.000288946 0.000458481
"206" 1472.557204943 0.999965059 0.000458491
"207" 1472.578038624 0.999147783 0.000458695
"208" 1472.598872304 1.000591198 0.000458414
"209" 1472.619705983 0.999982509 0.00045853
"210" 1472.640539662 0.999247255 0.000458671
"211" 1472.661373339 1.0000089 0.000458527
"212" 1472.682207015 0.999272966 0.00045866
"213" 1472.703040691 0.999755924 0.000458543
"214" 1472.723874365 1.000746593 0.000458416
"215" 1472.744708038 0.999809787 0.000458515
"216" 1472.76554171 1.000293881 0.000458421
"217" 1472.786375382 0.999661274 0.000458642
"218" 1472.807209053 0.999732699 0.000458652
"219" 1472.828042722 0.999846036 0.00045857
"220" 1472.848876391 0.999049812 0.000458778
"221" 1472.869710058 0.999203903 0.000458755
"222" 1472.890543725 0.999996603 0.00045848
"223" 1472.91137739 0.999809084 0.000458568
"224" 1472.932211055 1.000347542 0.000458446
"225" 1472.953044719 0.999994163 0.00045849
"226" 1472.973878382 1.000299727 0.000458491
"227" 1472.994712044 1.000884669 0.000458409
"228" 1473.015545704 0.999633849 0.000458589
"229" 1473.036379364 0.999400963 0.00045869
"230" 1473.057213023 0.999951444 0.000458559
"231" 1473.078046681 1.000210813 0.000458427
"232" 1473.098880337 0.999653035 0.000458558
"233" 1473.119713993 1.000188896 0.000458453
"234" 1473.140547649 0.999635278 0.000458518
"235" 1473.161381302 0.999785624 0.000458536
"236" 1473.182214955 0.999685028 0.000458607
"237" 1473.203048607 1.000004338 0.000458468
"238" 1473.223882258 1.000526433 0.000458429
"239" 1473.244715908 0.999444773 0.000458625
"240" 1473.265549557 0.999503231 0.00045855
"241" 1473.286383205 1.000340189 0.000458397
"242" 1473.307216852 1.000609823 0.000458341
"243" 1473.328050498 1.000226773 0.000458417
"244" 1473.348884143 0.998596257 0.000458834
"245" 1473.369717787 0.999589452 0.000458666
"246" 1473.39055143 0.999065277 0.000458739
"247" 1473.411385072 0.999106273 0.000458761
"248" 1473.432218713 0.998054206 0.000459005
"249" 1473.453052353 0.999609887 0.000458605
"250" 1473.473885992 0.99910888 0.000458747
"251" 1473.49471963 0.998898453 0.000458786
"252" 1473.515553268 1.001122034 0.000458312
"253" 1473.536386904 0.999072611 0.000458837
"254" 1473.557220539 1.00016423 0.000458594
"255" 1473.578054173 0.999329794 0.000458725
"256" 1473.598887806 1.00049856 0.000458501
"257" 1473.619721438 1.00002994 0.000458595
"258" 1473.640555069 1.000384278 0.000458434
"259" 1473.661388699 1.000437939 0.000458424
"260" 1473.682222328 0.99977631 0.000458571
"261" 1473.703055956 1.000905757 0.000458328
"262" 1473.723889582 0.999634604 0.000458618
"263" 1473.7447232 1.000433058 0.00045847
"264" 1473.765556825 0.999124603 0.000458714
"265" 1473.786390449 1.000435822 0.00045846
"266" 1473.807224072 1.000309308 0.000458451
