Time Flux Fluxerr
"1" 1544.578094695 0.999924655 6.6428e-05
"2" 1544.59892802833 NA NA
"3" 1544.61976136167 NA NA
"4" 1544.640595227 1.000000251 6.6424e-05
"5" 1544.66142802833 NA NA
"6" 1544.682262246 1.000070174 6.6423e-05
"7" 1544.703094695 NA NA
"8" 1544.723929264 0.999927695 6.6423e-05
"9" 1544.744762773 0.999864222 6.6424e-05
"10" 1544.76559628 0.999960325 6.642e-05
"11" 1544.786429788 0.99983701 6.6424e-05
"12" 1544.807263295 0.999949647 6.6422e-05
"13" 1544.828096802 1.000124152 6.6414e-05
"14" 1544.848930308 1.000003636 6.6418e-05
"15" 1544.869763814 0.999972179 6.6419e-05
"16" 1544.89059732 0.999868146 6.6419e-05
"17" 1544.911430825 0.999834876 6.642e-05
"18" 1544.932264329 0.999856029 6.6418e-05
"19" 1544.953097833 1.000050099 6.6417e-05
"20" 1544.973931337 0.999962414 6.6413e-05
"21" 1544.99476484 1.00007372 6.641e-05
"22" 1545.015598342 0.999954201 6.6408e-05
"23" 1545.036431845 1.000001226 6.6406e-05
"24" 1545.057265346 1.00003862 6.6407e-05
"25" 1545.078098847 0.999895525 6.6414e-05
"26" 1545.098932348 0.999884937 6.6416e-05
"27" 1545.119765848 0.999797529 6.6423e-05
"28" 1545.140599347 0.999909986 6.6418e-05
"29" 1545.161432846 0.999887947 6.6417e-05
"30" 1545.182266345 0.999996829 6.6416e-05
"31" 1545.203099843 1.000045282 6.6415e-05
"32" 1545.22393334 1.000077489 6.6409e-05
"33" 1545.244766837 0.999995486 6.6407e-05
"34" 1545.265600333 0.999826754 6.6406e-05
"35" 1545.286433829 0.999957714 6.6404e-05
"36" 1545.307267324 1.000049907 6.6408e-05
"37" 1545.328100819 0.999968719 6.6409e-05
"38" 1545.348934312 0.99990254 6.6413e-05
"39" 1545.369767806 1.000024267 6.6408e-05
"40" 1545.390601299 0.9999285 6.6414e-05
"41" 1545.411434791 0.999941574 6.641e-05
"42" 1545.432268282 0.999927448 6.6411e-05
"43" 1545.453101773 1.000005422 6.6411e-05
"44" 1545.473935264 1.000080238 6.6405e-05
"45" 1545.494768754 1.000030116 6.6408e-05
"46" 1545.515602243 1.00001716 6.6408e-05
"47" 1545.536435731 0.999932849 6.6409e-05
"48" 1545.557269219 0.999827549 6.6406e-05
"49" 1545.578102707 0.999956471 6.6396e-05
"50" 1545.598936193 0.999935952 6.6393e-05
"51" 1545.61976968 1.000103587 6.6393e-05
"52" 1545.640603165 0.999916243 6.6403e-05
"53" 1545.66143665 1.000085517 6.64e-05
"54" 1545.682270134 0.999982922 6.6408e-05
"55" 1545.703103618 0.999976385 6.6413e-05
"56" 1545.723937101 1.000044435 6.6406e-05
"57" 1545.744770583 0.999948538 6.6409e-05
"58" 1545.765604065 0.999797348 6.641e-05
"59" 1545.786437546 0.999753459 6.641e-05
"60" 1545.807271026 1.000051609 6.6404e-05
"61" 1545.828104506 1.00007964 6.6404e-05
"62" 1545.848937985 1.000082291 6.6399e-05
"63" 1545.869771463 1.000011165 6.6403e-05
"64" 1545.890604941 0.999829715 6.6411e-05
"65" 1545.911438418 0.999905185 6.6404e-05
"66" 1545.932271895 0.999893034 6.6403e-05
"67" 1545.95310537 0.99983233 6.6403e-05
"68" 1545.973938845 1.000011263 6.6401e-05
"69" 1545.99477232 1.000031834 6.6399e-05
"70" 1546.015605793 0.999888748 6.6404e-05
"71" 1546.036439267 0.999974766 6.6402e-05
"72" 1546.057272739 0.999884346 6.6407e-05
"73" 1546.078106211 0.999922022 6.6407e-05
"74" 1546.098939682 0.999911409 6.64e-05
"75" 1546.119773152 0.999962643 6.6395e-05
"76" 1546.140606622 1.000006123 6.6396e-05
"77" 1546.161440091 1.000059333 6.6394e-05
"78" 1546.182273559 0.999916477 6.6397e-05
"79" 1546.203107027 1.000000356 6.6397e-05
"80" 1546.223940494 1.000035622 6.6395e-05
"81" 1546.24477396 0.999806637 6.6398e-05
"82" 1546.265607426 1.000020966 6.6397e-05
"83" 1546.28644089 1.000053076 6.6394e-05
"84" 1546.307274355 0.999892728 6.6404e-05
"85" 1546.328107815 0.999935156 6.6409e-05
"86" 1546.348941277 1.000047164 6.6401e-05
"87" 1546.369774739 1.000012586 6.6402e-05
"88" 1546.390594695 NA NA
"89" 1546.411441661 0.999970003 6.6401e-05
"90" 1546.432275121 0.999974654 6.6403e-05
"91" 1546.45310858 1.00006905 6.6401e-05
"92" 1546.473942039 0.999943697 6.6402e-05
"93" 1546.494775497 1.000003015 6.6399e-05
"94" 1546.515608954 0.9998533 6.6407e-05
"95" 1546.53644241 0.999785006 6.6406e-05
"96" 1546.557275866 0.99980184 6.6402e-05
"97" 1546.578109321 1.000000058 6.6396e-05
"98" 1546.598942775 0.999993378 6.6394e-05
"99" 1546.619776229 0.9999907 6.6393e-05
"100" 1546.640609682 0.999891506 6.6392e-05
"101" 1546.661443134 1.000058376 6.6382e-05
"102" 1546.682276585 1.000041542 6.6381e-05
"103" 1546.703110036 0.999854431 6.6392e-05
"104" 1546.723943486 0.999825356 6.6401e-05
"105" 1546.744776935 0.999931263 6.6401e-05
"106" 1546.765610384 0.999864348 6.6403e-05
"107" 1546.786443832 0.999868361 6.64e-05
"108" 1546.807277279 0.999974103 6.6399e-05
"109" 1546.828110725 1.000071468 6.6397e-05
"110" 1546.848944171 1.000248316 6.6388e-05
"111" 1546.869777616 1.000025259 6.6402e-05
"112" 1546.89061106 0.999938796 6.6396e-05
"113" 1546.911444503 0.999876691 6.6399e-05
"114" 1546.932277946 1.000127051 6.6394e-05
"115" 1546.953111388 1.000101905 6.6394e-05
"116" 1546.973944829 1.000056374 6.6396e-05
"117" 1546.994778269 1.000004485 6.64e-05
"118" 1547.015611709 0.999938685 6.64e-05
"119" 1547.036445148 0.999954234 6.6402e-05
"120" 1547.057278586 1.000017235 6.6403e-05
"121" 1547.078112024 0.999871356 6.6409e-05
"122" 1547.098945461 0.99993475 6.6409e-05
"123" 1547.119778897 0.999960951 6.6412e-05
"124" 1547.140612332 0.999836749 6.6412e-05
"125" 1547.161445767 0.999975903 6.6404e-05
"126" 1547.182279201 0.999786225 6.6409e-05
"127" 1547.203112634 0.999605368 6.6409e-05
"128" 1547.223946066 0.999548427 6.6409e-05
"129" 1547.244779498 0.999663184 6.6407e-05
"130" 1547.265612928 0.999570869 6.641e-05
"131" 1547.286446359 0.999975822 6.6403e-05
"132" 1547.307279788 1.000091866 6.6399e-05
"133" 1547.328113217 0.999987019 6.6404e-05
"134" 1547.348946645 0.999932512 6.6402e-05
"135" 1547.369780071 0.999953023 6.6403e-05
"136" 1547.390613498 1.000016315 6.6397e-05
"137" 1547.411446924 1.000129526 6.6395e-05
"138" 1547.432280348 0.999980032 6.6401e-05
"139" 1547.453113772 0.999892134 6.6407e-05
"140" 1547.473947196 1.00008675 6.6396e-05
"141" 1547.494780618 0.999882127 6.6407e-05
"142" 1547.51561404 0.999948986 6.6404e-05
"143" 1547.536447461 0.999889773 6.6405e-05
"144" 1547.557280881 0.999851349 6.6407e-05
"145" 1547.578114301 1.000070378 6.6396e-05
"146" 1547.59894772 1.000063051 6.6393e-05
"147" 1547.619781138 0.999905446 6.6402e-05
"148" 1547.640614555 0.999859838 6.6402e-05
"149" 1547.661447972 1.00013321 6.6397e-05
"150" 1547.682281388 0.999977423 6.6399e-05
"151" 1547.703114803 0.999985154 6.6401e-05
"152" 1547.723948217 1.000017084 6.6392e-05
"153" 1547.744781631 1.000013256 6.6392e-05
"154" 1547.765615043 0.999978083 6.6392e-05
"155" 1547.786448455 0.999873953 6.6392e-05
"156" 1547.807281866 0.99995285 6.6395e-05
"157" 1547.828115277 0.999994037 6.6397e-05
"158" 1547.848948686 0.999933192 6.6398e-05
"159" 1547.869782095 0.999992197 6.6401e-05
"160" 1547.890615503 0.999962954 6.6398e-05
"161" 1547.91144891 0.999913636 6.6399e-05
"162" 1547.932282317 0.999896371 6.6404e-05
"163" 1547.953115723 0.999956422 6.6405e-05
"164" 1547.973949128 1.000201321 6.6399e-05
"165" 1547.994782532 0.999945254 6.6406e-05
"166" 1548.015615936 0.999966631 6.6405e-05
"167" 1548.036449338 1.000018911 6.6403e-05
"168" 1548.05728274 0.999976052 6.6406e-05
"169" 1548.078116141 1.0000426 6.6402e-05
"170" 1548.098949542 0.999913145 6.6402e-05
"171" 1548.119782941 0.999866295 6.6408e-05
"172" 1548.14061634 0.999841303 6.6406e-05
"173" 1548.161449738 1.000075688 6.6395e-05
"174" 1548.182283136 0.999899232 6.6409e-05
"175" 1548.203116532 0.999872555 6.6405e-05
"176" 1548.223949928 0.999909474 6.64e-05
"177" 1548.244783323 0.999881813 6.6405e-05
"178" 1548.265616717 1.000056962 6.6401e-05
"179" 1548.28645011 0.999881311 6.6404e-05
"180" 1548.307283503 0.999931449 6.6401e-05
"181" 1548.328116895 0.999880208 6.64e-05
"182" 1548.348950286 1.000004702 6.6402e-05
"183" 1548.369783676 1.00007213 6.6407e-05
"184" 1548.390617065 0.999883161 6.641e-05
"185" 1548.411450454 0.999942968 6.6407e-05
"186" 1548.432283842 0.999985372 6.6406e-05
"187" 1548.453117229 1.000073762 6.6404e-05
"188" 1548.473950615 0.999917715 6.6407e-05
"189" 1548.494784 0.99996849 6.6403e-05
"190" 1548.515617385 0.999888966 6.64e-05
"191" 1548.536450769 1.000045553 6.6399e-05
"192" 1548.557284152 1.000029292 6.6401e-05
"193" 1548.578117535 1.000008962 6.64e-05
"194" 1548.598950916 0.999955455 6.6404e-05
"195" 1548.619784297 0.999845264 6.6412e-05
"196" 1548.640617677 0.999960475 6.6409e-05
"197" 1548.661451056 1.000113491 6.6404e-05
"198" 1548.682284435 1.000041715 6.6406e-05
"199" 1548.703117812 0.999998148 6.6411e-05
"200" 1548.723951189 0.999963028 6.6411e-05
"201" 1548.744784565 1.000042802 6.6407e-05
"202" 1548.76561794 0.999936648 6.6407e-05
"203" 1548.786451315 0.999971576 6.6408e-05
"204" 1548.807284688 0.999785136 6.6412e-05
"205" 1548.828118061 0.999942156 6.6401e-05
"206" 1548.848951433 0.999996018 6.6393e-05
"207" 1548.869784804 0.99993673 6.6397e-05
"208" 1548.890618175 0.999951108 6.64e-05
"209" 1548.911451544 1.000054442 6.6399e-05
"210" 1548.932284913 0.999888793 6.6411e-05
"211" 1548.953118281 1.00004363 6.6411e-05
"212" 1548.973951648 0.999945451 6.6413e-05
"213" 1548.994785015 0.999927693 6.6412e-05
"214" 1549.01561838 1.000062491 6.6411e-05
"215" 1549.036451745 0.999941501 6.6417e-05
"216" 1549.057285109 0.999960597 6.6417e-05
"217" 1549.078118472 1.000066511 6.6414e-05
"218" 1549.098951834 0.999954624 6.6419e-05
"219" 1549.119785196 0.999805198 6.6427e-05
"220" 1549.140618556 0.999912556 6.6417e-05
"221" 1549.161451916 1.000062095 6.6403e-05
"222" 1549.182285276 0.999951562 6.6408e-05
"223" 1549.203118634 0.999999304 6.6411e-05
"224" 1549.223951991 0.999908615 6.6412e-05
"225" 1549.244785348 0.999917839 6.6411e-05
"226" 1549.265618704 1.000091414 6.6404e-05
"227" 1549.286452059 0.999874842 6.6413e-05
"228" 1549.307285413 0.999978957 6.6408e-05
"229" 1549.328118767 0.999985221 6.6407e-05
"230" 1549.348952119 0.999920088 6.6409e-05
"231" 1549.369785471 0.999902911 6.6411e-05
"232" 1549.390618821 0.999915666 6.6407e-05
"233" 1549.411452168 1.000089045 6.6397e-05
"234" 1549.432285517 0.999854544 6.6411e-05
"235" 1549.453118865 0.999765051 6.6413e-05
"236" 1549.473952213 0.999803435 6.6407e-05
"237" 1549.49478556 1.000017741 6.6404e-05
"238" 1549.515594695 NA NA
"239" 1549.536452251 1.000180617 6.6395e-05
"240" 1549.557285595 0.999936911 6.6406e-05
"241" 1549.578118939 1.000160898 6.6403e-05
"242" 1549.598952281 0.999843309 6.6409e-05
"243" 1549.619785623 1.000001543 6.6404e-05
"244" 1549.640618965 0.999985742 6.6409e-05
"245" 1549.661452305 0.999992702 6.6408e-05
"246" 1549.682285644 1.000036158 6.6403e-05
"247" 1549.703118983 1.000048584 6.6399e-05
"248" 1549.72395232 0.999875582 6.6406e-05
"249" 1549.744785657 0.999949761 6.6401e-05
"250" 1549.765618993 0.99994878 6.6401e-05
"251" 1549.786452328 0.999962329 6.6404e-05
"252" 1549.807285663 1.000015113 6.6401e-05
"253" 1549.828118996 0.999980664 6.6397e-05
"254" 1549.848952329 0.999991359 6.6399e-05
"255" 1549.869785661 1.00007367 6.6399e-05
"256" 1549.890618992 0.999900744 6.6404e-05
"257" 1549.911452322 1.000096693 6.6396e-05
"258" 1549.932285652 0.999877468 6.6408e-05
"259" 1549.95311898 1.000034299 6.6393e-05
"260" 1549.973952308 0.999881066 6.6396e-05
"261" 1549.994785634 0.999836445 6.6408e-05
"262" 1550.01561896 0.999969979 6.6406e-05
"263" 1550.036452286 0.999959792 6.6408e-05
"264" 1550.05728561 1.000018314 6.6411e-05
"265" 1550.078118933 1.000106341 6.6404e-05
"266" 1550.098952256 0.999981323 6.6405e-05
"267" 1550.119785577 1.000020611 6.6405e-05
"268" 1550.140618898 1.000032467 6.6407e-05
"269" 1550.161452218 0.999968535 6.6404e-05
"270" 1550.182285538 0.999840523 6.6411e-05
"271" 1550.203118856 0.999961815 6.641e-05
"272" 1550.223952173 0.99997122 6.6412e-05
"273" 1550.24478549 0.999821968 6.6415e-05
"274" 1550.265618806 1.000015742 6.6411e-05
"275" 1550.286452121 0.999841104 6.6417e-05
"276" 1550.307285435 0.999867252 6.6421e-05
"277" 1550.328118748 0.999962141 6.6414e-05
"278" 1550.34895206 0.999976271 6.6414e-05
"279" 1550.369785371 1.000038426 6.6409e-05
"280" 1550.390618682 1.000006652 6.6407e-05
"281" 1550.411451992 1.000087573 6.6408e-05
"282" 1550.4322853 0.999898764 6.6411e-05
"283" 1550.453118608 0.999926295 6.6408e-05
"284" 1550.473951915 0.999972633 6.6405e-05
"285" 1550.494785222 0.999965665 6.6404e-05
"286" 1550.515618527 1.000078132 6.6396e-05
"287" 1550.536451832 1.000031489 6.6402e-05
"288" 1550.557285135 0.999977563 6.6409e-05
"289" 1550.578118438 0.999927708 6.6409e-05
"290" 1550.59895174 1.000005984 6.6409e-05
"291" 1550.619785041 0.999947167 6.6414e-05
"292" 1550.640618341 0.999966395 6.6412e-05
"293" 1550.66145164 0.999917013 6.6415e-05
"294" 1550.682284939 1.000084321 6.6415e-05
"295" 1550.703118236 1.00007888 6.6411e-05
"296" 1550.723951533 1.000003118 6.6414e-05
"297" 1550.744784828 0.999936521 6.6415e-05
"298" 1550.765618123 0.999963745 6.6407e-05
"299" 1550.786451417 0.999889324 6.641e-05
"300" 1550.80728471 1.000038892 6.6411e-05
"301" 1550.828118002 0.999863006 6.6414e-05
"302" 1550.848951293 1.000001599 6.6411e-05
"303" 1550.869784584 0.999822219 6.6424e-05
"304" 1550.890617874 1.000003451 6.6411e-05
"305" 1550.911451162 1.000069497 6.6406e-05
"306" 1550.93228445 0.999879781 6.6417e-05
"307" 1550.953117737 0.99983246 6.641e-05
"308" 1550.973951022 0.999971818 6.6409e-05
"309" 1550.994784307 1.000079241 6.6409e-05
"310" 1551.015617592 0.999826732 6.641e-05
"311" 1551.036450875 0.99985286 6.6406e-05
"312" 1551.057284157 1.000006337 6.6403e-05
"313" 1551.078117438 0.999987392 6.6394e-05
"314" 1551.098950719 1.00003526 6.6395e-05
"315" 1551.119783999 0.999934385 6.641e-05
"316" 1551.140617277 1.000060704 6.6402e-05
"317" 1551.161450555 1.000028711 6.6408e-05
"318" 1551.182283831 0.999809602 6.6421e-05
"319" 1551.203117107 0.999690001 6.6424e-05
"320" 1551.223950383 0.999691573 6.6426e-05
"321" 1551.244783657 0.999751598 6.6428e-05
