Time Flux Fluxerr
1325.327962235 0.999271258 0.000316519
1325.348796116 1.000486543 0.000316339
1325.369629996 0.999946026 0.000316425
1325.390463875 1.000002594 0.000316409
1325.411297753 0.999826205 0.000316436
1325.432131629 1.000059139 0.000316404
1325.452965505 0.998826746 0.000316598
1325.473799379 0.999603942 0.000316515
1325.494633252 0.999499674 0.00031655
1325.515467125 0.999664894 0.000316499
1325.536300996 0.999500924 0.000316509
1325.557134866 0.998851289 0.000316617
1325.577968736 0.99991858 0.000316447
1325.598802604 1.000472679 0.00031637
1325.619636472 1.000475171 0.000316388
1325.640470339 1.00103778 0.000316319
1325.661304205 0.9992412 0.000316603
1325.68213807 0.999789365 0.000316536
1325.702971934 1.000298273 0.00031644
1325.723805797 0.999644026 0.000316502
1325.74463966 1.000100673 0.000316429
1325.765473522 1.000132263 0.000316396
1325.78629556833 NA NA
1325.80712890167 NA NA
1325.827962235 NA NA
1325.84879556833 NA NA
1325.86962890167 NA NA
1325.890462235 NA NA
1325.91129556833 NA NA
1325.932144394 0.999491859 0.000316507
1325.95297825 0.999319412 0.000316557
1325.973812105 1.000191307 0.000316498
1325.99464596 0.99950511 0.000316593
1326.015479814 1.000081543 0.000316487
1326.036313668 0.999843644 0.000316533
1326.057147522 0.999919406 0.000316515
1326.077981374 0.998862287 0.000316684
1326.098815226 0.999913269 0.000316516
1326.119649078 0.999843993 0.000316509
1326.140482929 0.999428477 0.000316586
1326.161316779 1.000789196 0.000316343
1326.182150629 1.000438178 0.000316417
1326.202984478 0.999785558 0.000316516
1326.223818327 1.000154143 0.000316462
1326.244652175 1.000237933 0.000316433
1326.265486023 0.9993926 0.000316564
1326.286319871 0.999358112 0.000316554
1326.307153717 0.999999555 0.00031643
1326.327987564 0.999710491 0.00031652
1326.34882141 0.999871505 0.000316494
1326.369655255 0.9998666 0.00031654
1326.3904891 0.999659585 0.000316581
1326.411322945 0.999406245 0.000316606
1326.432156789 1.000055197 0.000316511
1326.452990632 0.999999228 0.000316522
1326.473824476 0.999924388 0.000316524
1326.494658318 1.000116096 0.000316501
1326.51549216 1.000752064 0.000316414
1326.536326002 0.99981154 0.000316574
1326.557159843 1.000117912 0.000316515
1326.577993684 0.99983912 0.000316556
1326.598827525 0.999840586 0.000316573
1326.619661365 0.999853953 0.000316562
1326.640495204 0.999556862 0.000316595
1326.661329043 0.99978056 0.000316558
1326.682162882 0.999809714 0.000316603
1326.70299672 0.999831183 0.000316582
1326.723830558 0.999370393 0.000316669
1326.744664395 0.999521551 0.000316607
1326.765498232 0.999672509 0.000316582
1326.786332069 1.000180128 0.000316515
1326.807165905 1.000249797 0.000316494
1326.827999741 1.000226633 0.00031651
1326.84879556833 NA NA
1326.86962890167 NA NA
1326.890501245 0.998420757 0.000316807
1326.911335079 0.998207484 0.000316839
1326.932168913 0.999513734 0.000316611
1326.953002746 0.999902481 0.000316534
1326.973836578 1.000186175 0.00031651
1326.99467041 0.999948649 0.000316549
1327.015504242 0.99957714 0.000316598
1327.036338074 0.999570217 0.000316598
1327.057171905 0.99987884 0.000316555
1327.078005735 0.999514711 0.000316609
1327.098839565 1.000290654 0.000316486
1327.119673396 0.999726304 0.000316611
1327.140507225 0.999723182 0.000316616
1327.161341054 0.999483442 0.000316706
1327.182174882 1.000211181 0.000316523
1327.202962235 NA NA
1327.223842538 1.000101119 0.000316508
1327.24462890167 NA NA
1327.265462235 NA NA
1327.28629556833 NA NA
1327.30712890167 NA NA
1327.327962235 NA NA
1327.34879556833 NA NA
1327.36962890167 NA NA
1327.390462235 NA NA
1327.41129556833 NA NA
1327.432180792 1.000185465 0.000316469
1327.452962235 NA NA
1327.47379556833 NA NA
1327.49462890167 NA NA
1327.515462235 NA NA
1327.53629556833 NA NA
1327.557183726 0.999616054 0.000316606
1327.577962235 NA NA
1327.59879556833 NA NA
1327.61962890167 NA NA
1327.640462235 NA NA
1327.66129556833 NA NA
1327.68212890167 NA NA
1327.702962235 NA NA
1327.72379556833 NA NA
1327.74462890167 NA NA
1327.765462235 NA NA
